timestamp,bid_px_0,bid_sz_0,bid_px_1,bid_sz_1,bid_px_2,bid_sz_2,bid_px_3,bid_sz_3,bid_px_4,bid_sz_4,bid_px_5,bid_sz_5,bid_px_6,bid_sz_6,bid_px_7,bid_sz_7,bid_px_8,bid_sz_8,bid_px_9,bid_sz_9,ask_px_0,ask_sz_0,ask_px_1,ask_sz_1,ask_px_2,ask_sz_2,ask_px_3,ask_sz_3,ask_px_4,ask_sz_4,ask_px_5,ask_sz_5,ask_px_6,ask_sz_6,ask_px_7,ask_sz_7,ask_px_8,ask_sz_8,ask_px_9,ask_sz_9
2025-07-17T08:05:03.360677248Z,5.51,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:05:03.360683462Z,5.51,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:05:03.361327319Z,5.51,100,5.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:05:03.361332576Z,5.51,100,5.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,100,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:09:48.860696464Z,5.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,100,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:09:48.860705588Z,5.37,100,5.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,100,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:09:49.157896784Z,5.37,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,100,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:09:49.157903443Z,5.37,100,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,100,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:09:49.157903798Z,5.37,100,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T08:09:49.157909054Z,5.37,100,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,100,21.47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T11:00:00.125174985Z,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,100,21.47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-17T11:00:00.125182048Z,5.4,100,9.79,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,100,21.47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
